DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	SPREAD
2023.06.20	15:00:00	1.09281	1.09351	1.09114	1.09186	4665	1.905860349127165
2023.06.20	16:00:00	1.09186	1.09238	1.09056	1.09157	6205	1.9143722532367209
2023.06.20	17:00:00	1.09157	1.092	1.08915	1.09005	6556	1.9078788543837915
2023.06.20	18:00:00	1.09005	1.0909	1.0899	1.0899	4486	1.9115937295884948
2023.06.20	19:00:00	1.0899	1.09155	1.08948	1.09145	2863	1.9129103380695183
2023.06.20	20:00:00	1.09144	1.09163	1.09113	1.09147	2557	1.9248837209302418
2023.06.20	21:00:00	1.09149	1.09168	1.09108	1.09165	2230	1.9042504307868549
2023.06.20	22:00:00	1.09164	1.09168	1.0909	1.09117	1633	1.9279106858053896
2023.06.20	23:00:00	1.09117	1.09167	1.09115	1.09161	439	1.8957264957264635
2023.06.21	00:00:00	1.09155	1.09202	1.09155	1.09162	194	4.471428571428552
2023.06.21	01:00:00	1.09163	1.09198	1.09162	1.09191	347	1.9286788399569967
2023.06.21	02:00:00	1.09191	1.09218	1.09177	1.09192	887	1.864642375168823
2023.06.21	03:00:00	1.09191	1.09193	1.0914	1.0915300000000001	2017	1.9071060762100314
2023.06.21	04:00:00	1.09152	1.09161	1.09112	1.09134	2316	1.8845264937993995
2023.06.21	05:00:00	1.09134	1.09203	1.09112	1.09118	2156	1.9344019728730828
2023.06.21	06:00:00	1.09118	1.09155	1.09116	1.09142	1523	1.9147313691508496
2023.06.21	07:00:00	1.09143	1.09188	1.09132	1.09155	1539	1.935880398671064
2023.06.21	08:00:00	1.09155	1.09168	1.09096	1.09116	1902	1.9021724137930456
2023.06.21	09:00:00	1.09113	1.09161	1.0905	1.09094	5161	1.8839328537170272
2023.06.21	10:00:00	1.09095	1.09189	1.09083	1.09123	4334	1.9035067873302782
2023.06.21	11:00:00	1.09121	1.0933	1.09086	1.09243	4206	1.8968829841594
2023.06.21	12:00:00	1.09242	1.0929	1.09158	1.09159	3006	1.9138209451436548
2023.06.21	13:00:00	1.09158	1.09251	1.09129	1.09176	2938	1.9015763546797884
2023.06.21	14:00:00	1.09178	1.0926	1.09157	1.09236	3189	1.9139847601971873
2023.06.21	15:00:00	1.09235	1.0925	1.09078	1.09244	4902	1.90056497175145
2023.06.21	16:00:00	1.09244	1.09302	1.09099	1.0926	5713	1.9145473438108758
2023.06.21	17:00:00	1.0925799999999999	1.09633	1.09223	1.0954	7084	1.89877319911919
2023.06.21	18:00:00	1.09539	1.09554	1.09426	1.095	4724	1.90664164019637
2023.06.21	19:00:00	1.09499	1.09729	1.09489	1.09699	2953	1.9133569739952285
2023.06.21	20:00:00	1.09697	1.09785	1.09664	1.09767	2579	1.9245143149283754
2023.06.21	21:00:00	1.09767	1.09892	1.09756	1.0984099999999999	2709	1.9176015473888108
2023.06.21	22:00:00	1.0984	1.09887	1.09809	1.09871	1608	1.9090982286635243
2023.06.21	23:00:00	1.09871	1.0990199999999999	1.09845	1.09865	554	1.9247945205479258
2023.06.22	00:00:00	1.0986	1.0986	1.09815	1.09819	842	5.729077429983581
2023.06.22	01:00:00	1.09818	1.09901	1.09817	1.09901	361	1.9515800203872706
2023.06.22	02:00:00	1.099	1.09917	1.09884	1.09908	804	1.861239592969465
2023.06.22	03:00:00	1.09909	1.09915	1.0986	1.09877	1726	1.8779034690799536
2023.06.22	04:00:00	1.09875	1.09941	1.09863	1.0993	1554	1.9251901565995009
2023.06.22	05:00:00	1.09929	1.0993	1.09876	1.09927	1384	1.8982870370369904
2023.06.22	06:00:00	1.09928	1.09936	1.09905	1.09921	1067	1.932202304737389
